f9	f8	f7	f6	f5	f4	f3	f2	f1	f0
34	0000000000
3565	0000000000
261	0010000000
77	1000000001
75	0000010001
42	0000000110
128	0000000000
681	0000000001
144	0000000010
36	0001000000
40	1000000000
76	0100000001
258	0000000000
48	0110000000
606	0000010000
344	0000000010
28	0000100101
61	0000100000
63	1000000000
39	0000000110
103	0000001100
308	0100000000
27	1001010000
61	0000010000
142	0000000000
93	0000001000
356	0000001000
17	0010010010
49	0000001000
22	1010000000
139	0001000000
60	0100001000
137	0000100100
52	1000001101
508	0000000000
130	0000100000
88	0010000100
24	0000000010
24	0001010000
6	0101000001
152	0000000100
95	0000000000
16	0000000111
96	0010000010
237	0000100000
59	0000000101
77	0100010101
17	1001000010
5	0001100000
150	0000000010
19	1000010010
46	0000000100
34	0100001010
67	0000001000
40	0100010000
49	0000010001
73	0000001010
42	0000000101
50	0001000000
60	0010000101
19	0010000000
72	0101000000
59	0010110001
67	0010000111
39	0000000100
93	0100100000
68	0001011000
17	0000110000
41	0000001001
87	1001000001
41	0000000110
43	0010000000
79	0100000100
84	0010000000
35	0101000000
82	0010010100
100	0010100000
96	1000000000
2	0001100100
54	1000000000
37	0000000000
49	0100100000
63	0001000001
129	0100000000
41	0000010000
50	0010010000
62	0000100100
47	1010001000
64	0001100000
44	0000000001
37	0001101000
5	0110000001
31	1100100000
94	0100100100
64	0000000011
87	0011000000
72	1000001000
81	1000000000
53	0000011100
67	0001100100
